df,knots_interior,adj_r_squared,AIC,BIC,MSE,P_value_versus_one_less_knot,P_value_versus_0_knots,biggest_knot,biggest_knot_slope_before,biggest_knot_slope_after,biggest_knot_slope_change,first_negative_slope_year
1,-1,0.915,2.4175746506042497,8.846978829778847,0.05531335156294656,1.2098782523490427e-34,NA,NA,NA,NA,NA,NA
2,0,0.914,4.364067632530385,12.936606538096516,0.05526639289604417,0.8221328242330419,0.8221328242330419,1991,0.0429,0.043,1e-4,NA
3,1,0.923,-1.6678228676584617,9.047850764299202,0.04865111246107927,0.006311538447839041,0.02268572350489822,2001,0.0404,0.0383,0.0022,NA
4,2,0.954,-32.87726491719067,-20.01845655884148,0.028718475870751412,3.6578289365538353e-8,2.4122395210309846e-8,2006,0.0348,0.0267,0.0092,NA
5,3,0.957,-36.07719192453621,-21.07524883979548,0.02644328234092489,0.03080327537321742,1.1642672064459054e-8,2010,0.0622,0.0568,0.0104,NA
6,4,0.959,-39.31145942940824,-22.166381618275977,0.02433507046950949,0.031756111761451676,5.378289169435489e-9,2012,0.0715,0.064,0.014,NA
7,5,0.96,-38.589378209809986,-19.301165672286196,0.02384642030424904,0.29304809356166744,1.2825229503816434e-8,1969,0.078,0.0706,0.0154,NA
8,6,0.958,-35.994993794503955,-14.563646530588628,0.02407246815525473,NA,6.013599207654274e-8,1968,0.0781,0.0724,0.0173,NA
9,7,0.957,-33.51486536135582,-9.94038337104896,0.024256627366356837,NA,2.422495086249952e-7,2015,0.0684,0.0603,0.0139,NA
10,8,0.962,-40.20003382681358,-14.482417110115193,0.02113287862954825,0.007704497121588084,2.8249189470924978e-8,1979,0.0873,0.053,-0.0343,NA
