Year,scale_count,setting_count,,alcohol_related_disoders,,alcohol_drinking,,alcohol_related_disoders_NOT_alcohol_drinking,alcohol_related_disoders_NOT_alcohol_drinking,,CAGE_AND_alcohol_related_disorders,CAG_AND_alcohol_related_NOT_alcohol_drinking
1974,1,1315,,1315,,354,,1152,,,6,1
1975,0,1288,,1288,,326,,1179,,,7,0
1976,0,1435,,1435,,375,,1287,,,21,0
1977,0,1576,,1576,,406,,1442,,,13,0
1978,0,1655,,1655,,400,,1506,,,21,0
1979,0,1926,,1926,,542,,1689,,,15,0
1980,0,1793,,1793,,511,,1626,,,15,0
1981,0,1951,,1951,,538,,1744,,,19,0
1982,1,1862,,1862,,604,,1671,,,17,1
1983,1,2037,,2037,,717,,1751,,,23,1
1984,2,2067,,2067,,770,,1764,,,31,2
1985,0,2166,,2166,,786,,1889,,,36,0
1986,5,2201,,2201,,789,,1902,,,35,1
1987,5,2177,,2177,,830,,1900,,,41,5
1988,5,2269,,2269,,867,,1977,,,41,1
1989,7,2153,,2153,,845,,1845,,,43,2
1990,9,2307,,2307,,1068,,1880,,,66,4
1991,12,2067,,2067,,1129,,1682,,,67,3
1992,11,1989,,1989,,1090,,1664,,,81,5
1993,10,2119,,2119,,1211,,1751,,,67,6
1994,14,2140,,2140,,1150,,1783,,,72,6
1995,13,2061,,2061,,1258,,1697,,,82,9
1996,9,2008,,2008,,1108,,1720,,,92,2
1997,16,1981,,1981,,1284,,1651,,,85,8
1998,18,1897,,1897,,1186,,1619,,,80,10
1999,14,1785,,1785,,1250,,1569,,,102,6
2000,19,1918,,1918,,1347,,1645,,,118,10
2001,19,1736,,1736,,1404,,1504,,,97,11
2002,6,1845,,1845,,1431,,1594,,,102,4
2003,10,1981,,1981,,1639,,1637,,,119,6
2004,11,1982,,1982,,1731,,1665,,,101,7
2005,18,2335,,2335,,1925,,1945,,,150,9
2006,18,2490,,2490,,2010,,2062,,,150,9
2007,14,2732,,2732,,2239,,2173,,,155,5
2008,15,2836,,2836,,2380,,2206,,,158,4
2009,13,2803,,2803,,2599,,2188,,,137,4
2010,10,2901,,2901,,2847,,2194,,,173,5
2011,12,3122,,3122,,3140,,2238,,,185,4
2012,11,3251,,3251,,3385,,2364,,,178,3
2013,11,3447,,3447,,3568,,2411,,,177,4
2014,15,3526,,3526,,3781,,2517,,,190,5
2015,13,3404,,3404,,3761,,2363,,,183,4
2016,15,3239,,3239,,3616,,2231,,,160,7
2017,8,3285,,3285,,3686,,2197,,,174,3
2018,11,3196,,3196,,3602,,2182,,,168,4
2019,15,3088,,3088,,3500,,2125,,,149,7
2020,11,3044,,3044,,3388,,2030,,,144,3
2021,15,2884,,2884,,3133,,1885,,,138,4
2022,14,2681,,2681,,2670,,1653,,,116,1
2023,7,2387,,2387,,2333,,1506,,,108,0
2024,4,1098,,1098,,1188,,700,,,47,0
